cost_function, budget_percentage, budget, algorithm, original_seed_count, surviving_seed_count, removed_seed_count, seed_cost, baseline_influenced_nodes, node_removal_percentage, repetition, removed_nodes, remaining_nodes, perturbed_influenced_nodes, remaining_network_influence_percentage, delta_influence, retention_percentage, perturbed_rounds
Degree       ,              10.0,   8924, CGG      ,                1539,                 1529,                 10,      8919,                      2405,                     1.0,          3,            40,            3999,                       2248,                    56.214053513378346 , -157           ,   93.47193347193348 ,               19
Degree       ,              20.0,  17848, CSG-f1   ,                 849,                  840,                  9,     17836,                      1853,                     1.0,          3,            40,            3999,                       1837,                    45.936484121030254 , -16            ,   99.13653534808418 ,                7
Degree       ,              20.0,  17848, CSG-f2   ,                1075,                 1068,                  7,     17802,                      1081,                     1.0,          3,            40,            3999,                       1074,                    26.85671417854464  , -7             ,   99.35245143385754 ,                2
Degree       ,              20.0,  17848, CGG      ,                1982,                 1968,                 14,     17817,                      3467,                     1.0,          3,            40,            3999,                       3276,                    81.92048012003     , -191           ,   94.49091433516008 ,               22
Random       ,               1.0,    220, CSG-f1   ,                 146,                  145,                  1,       220,                       293,                     1.0,          4,            40,            3999,                        293,                     7.326831707926981 , 0              ,  100.0              ,                2
Random       ,               1.0,    220, CSG-f2   ,                 140,                  139,                  1,       219,                       224,                     1.0,          4,            40,            3999,                        224,                     5.601400350087522 , 0              ,  100.0              ,                2
Random       ,               1.0,    220, CGG      ,                 120,                  118,                  2,       220,                       588,                     1.0,          4,            40,            3999,                        548,                    13.703425856464117 , -40            ,   93.19727891156462 ,               11
Random       ,               2.0,    440, CSG-f1   ,                 252,                  251,                  1,       440,                       409,                     1.0,          4,            40,            3999,                        409,                    10.227556889222306 , 0              ,  100.0              ,                3
Random       ,               2.0,    440, CSG-f2   ,                 244,                  243,                  1,       438,                       366,                     1.0,          4,            40,            3999,                        366,                     9.152288072018004 , 0              ,  100.0              ,                2
Random       ,               2.0,    440, CGG      ,                 285,                  281,                  4,       440,                       882,                     1.0,          4,            40,            3999,                        831,                    20.78019504876219  , -51            ,   94.21768707482994 ,                9
Random       ,               5.0,   1100, CSG-f1   ,                 487,                  480,                  7,      1099,                      1354,                     1.0,          4,            40,            3999,                       1357,                    33.93348337084271  , 3              ,  100.22156573116692 ,               19
Random       ,               5.0,   1100, CSG-f2   ,                 533,                  526,                  7,      1099,                      1553,                     1.0,          4,            40,            3999,                       1539,                    38.48462115528882  , -14            ,   99.0985189954926  ,               27
Random       ,               5.0,   1100, CGG      ,                 619,                  612,                  7,      1099,                      2519,                     1.0,          4,            40,            3999,                       1890,                    47.26181545386346  , -629           ,   75.02977371973006 ,               35
