cost_function, budget_percentage, algorithm, node_removal_percentage, mean_influenced_nodes, std_influenced_nodes, mean_surviving_seed_count, std_surviving_seed_count, baseline_influenced_nodes
Degree       ,              10.0, CSG-f1   ,                    10.0,                595.25,  13.21432635636912  ,                    402.7 ,       6.4896679016482945,                       650
Degree       ,              10.0, CSG-f1   ,                    20.0,                551.05,  48.59551094710831  ,                    355.4 ,      11.208079792345293 ,                       650
Degree       ,              10.0, CSG-f2   ,                     1.0,                611.45,   2.799906013460189 ,                    607.1 ,       2.403944127558086 ,                       617
Degree       ,              10.0, CSG-f2   ,                     5.0,                590.5 ,   6.5010120669582765,                    583.6 ,       4.694902050432772 ,                       617
Degree       ,              10.0, CSG-f2   ,                    10.0,                561.5 ,   7.359204762529876 ,                    553.7 ,       5.676359099949463 ,                       617
Degree       ,              10.0, CSG-f2   ,                    20.0,                500.85,   9.60961689361782  ,                    489.8 ,       8.924242559632614 ,                       617
Degree       ,              20.0, CGG      ,                     1.0,               3264.05, 147.17067606944272  ,                   1962.65,       3.923948065539682 ,                      3467
Degree       ,              20.0, CGG      ,                     5.0,               2931.65, 117.55772378305323  ,                   1884.05,       5.276312508202156 ,                      3467
Degree       ,              20.0, CGG      ,                    10.0,               2695.35, 114.64190241562498  ,                   1783.15,      10.158092444217242 ,                      3467
Degree       ,              20.0, CGG      ,                    20.0,               2352.1 , 129.6728271661537   ,                   1582.4 ,      16.19096564201938  ,                      3467
Degree       ,              20.0, CSG-f1   ,                     1.0,               1835.45,   3.501503436495459 ,                    840.9 ,       2.4687520819444835,                      1853
Degree       ,              20.0, CSG-f1   ,                     5.0,               1765.1 ,  13.50204662848913  ,                    805.9 ,       6.812527160737744 ,                      1853
Degree       ,              20.0, CSG-f1   ,                    10.0,               1672.05,  14.15134362227803  ,                    763.55,       7.789838184928401 ,                      1853
Degree       ,              20.0, CSG-f1   ,                    20.0,               1491.45,  24.241059122250004 ,                    677.3 ,      13.841584941191192 ,                      1853
Degree       ,              20.0, CSG-f2   ,                     1.0,               1070.9 ,   3.740250484153489 ,                   1064.55,       3.06894461543893  ,                      1081
Degree       ,              20.0, CSG-f2   ,                     5.0,               1031.5 ,   8.684529499724144 ,                   1022.05,       6.5492064605689215,                      1081
Degree       ,              20.0, CSG-f2   ,                    10.0,                979.7 ,   9.142727912620535 ,                    969.4 ,       8.061604907474099 ,                      1081
Degree       ,              20.0, CSG-f2   ,                    20.0,                872.05,  13.128815234958722 ,                    858.95,      12.605241182268497 ,                      1081
Random       ,               1.0, CGG      ,                     1.0,                568.15,  17.159545448525147 ,                    118.25,       1.5174424466672054,                       588
Random       ,               1.0, CGG      ,                     5.0,                521.35,  30.982635204425844 ,                    113.6 ,       2.623777911012247 ,                       588
Random       ,               1.0, CGG      ,                    10.0,                461.2 ,  42.13836856432814  ,                    107.15,       2.7198103649064627,                       588
Random       ,               1.0, CGG      ,                    20.0,                400.6 ,  35.50448452030575  ,                     95.15,       3.7455236440878363,                       588
Random       ,               1.0, CSG-f1   ,                     1.0,                291.35,   3.0135658193191106,                    144.4 ,       1.0462967275611987,                       293
Random       ,               1.0, CSG-f1   ,                     5.0,                288.65,   8.689225027523882 ,                    138.9 ,       2.3373399185263635,                       293
Random       ,               1.0, CSG-f1   ,                    10.0,                276.55,  18.684288361587317 ,                    131.95,       3.5611204623500745,                       293
Random       ,               1.0, CSG-f1   ,                    20.0,                261.4 ,  22.5211012164148   ,                    118.75,       4.632550735371333 ,                       293
Random       ,               1.0, CSG-f2   ,                     1.0,                223.55,   2.163695668842644 ,                    138.8 ,       0.8944271909999034,                       224
Random       ,               1.0, CSG-f2   ,                     5.0,                223.15,   7.5691548579189405,                    134.05,       2.258900524358555 ,                       224
Random       ,               1.0, CSG-f2   ,                    10.0,                211.1 ,  17.973372117194863 ,                    127.05,       3.6197557347074385,                       224
Random       ,               1.0, CSG-f2   ,                    20.0,                201.9 ,  21.3415828348025   ,                    114.35,       4.760307376187958 ,                       224
Random       ,               2.0, CGG      ,                     1.0,                849.75,  23.603913591650567 ,                    281.7 ,       1.6889735281961629,                       882
Random       ,               2.0, CGG      ,                     5.0,                769.35,  35.883253681025664 ,                    269.7 ,       3.8539112053792   ,                       882
Random       ,               2.0, CGG      ,                    10.0,                687.25,  51.25054556834134  ,                    255.35,       5.565637051539898 ,                       882
Random       ,               2.0, CGG      ,                    20.0,                597.25,  44.149119321251554 ,                    227.05,       7.458481572573675 ,                       882
Random       ,               2.0, CSG-f1   ,                     1.0,                407.0 ,   4.142208919989681 ,                    249.6 ,       1.569445091341794 ,                       409
